books,writer,rating,description,statistics,details,urls,genres,reading,will_read
Lágrimas de ángel,"['Juani Hernández', 'Juani Hernández']",4.21,"Ángel Escudero «Jano» es el líder de Extrarradio, la banda de rock que despunta en el panorama musical. Tiene fama, éxito, dinero, mujeres… y, a pesar de eso, sabe que jamás podrá ser feliz.

Aunque sí lo era siendo un chaval de barrio marginal, pues, sin tener casi de nada, la tenía a ella… Hasta que la fatalidad le hizo renunciar a esa felicidad.

Sofía lo había querido toda su vida, pero nunca supo por qué se fue trece años atrás, sin despedirse, sin dejarle ninguna pista de dónde encontrarlo. Y entonces se convirtió en Jano, en alguien inalcanzable para ella, a quien ya no podría acercarse, ni tampoco olvidar…
Ahora, el destino, y la casa discográfica, obligan a Ángel a volver a sus raíces, teniendo que enfrentarse a todos esos fantasmas, de los que había estado huyendo, y a ella.

¿Puede un amor de juventud ser lo suficientemente fuerte como para vencer los obstáculos de la vida? Ángel no lo creía así y, sin embargo, ¿durante cuánto tiempo podrá resistirse a ese amor tan profundo que siente por Sofía?",63 ratings and 17 reviews,"['380 pages, Kindle Edition', 'First published October 9, 2014']",https://www.goodreads.com/book/show/23365319,,7 people are currently reading,34 people want to read
El cero es un número natural,"['Alex', 'Alex']",3.78,,37 ratings and 6 reviews,"['Hardcover', 'Published January 1, 2020']",https://www.goodreads.com/book/show/53937875,,3 people are currently reading,23 people want to read
Desayuno en Tiffany's,"['Truman Capote', 'Enrique Murillo', 'Truman Capote']",3.85,"Holly Golightly, la protagonista de Desayuno en Tiffany's, es quizás el más seductor personaje creado por ese maestro de seducción que fue Truman Capote. Atractiva sin ser guapa, tras rechazar una carrera de actriz en Hollywood, Holly se convierte en una estrella del Nueva York más sofisticado; bebiendo cócteles y rompiendo corazones, parece ganarse la vida pidiendo suelto para sus expediciones al tocador en los restaurantes y clubs de moda, y vive rodeada de tipos disparatados, desde un mafioso que cumple condena en Sing Sing y al que visita semanalmente hasta un millonario caprichoso de afinidades nazis, pasando por un viejo barman secretamente enamorado de ella. Mezcla de picardía e inocencia, de astucia y autenticidad, Holly vive en la provisionalidad permanente, sin pasado, no queriendo pertenecer a nada ni a nadie, sintiéndose desterrada en todas partes pese al glamour que la rodea, y soñando siempre con ese paraíso que para ella es Tiffany's, la famosa joyería neoyorquina. Desayuno en Tiffany's es una extraordinaria novela corta que, por sí sola, bastaría para consagrar a un autor.","248,803 ratings and 13,953 reviews","['160 pages, Paperback', 'First published January 1, 1958']",https://www.goodreads.com/book/show/52889302,"['Fiction', 'Short Stories', 'Classics', 'Romance', 'American', 'Literature', 'New York', '...more']","5,007 people are currently reading",193k people want to read
Presagio de carnaval,"['Liliana Bodoc', 'Liliana Bodoc']",3.58,"""Las tragedias se resuelven en ejemplos. Pero ¿es ejemplar una tragedia que enarbola en la lanza no la bendita cabeza de un monarca, sino la cabeza piojosa de un vendedor de yuyos?"".
El día que Mijaíl preguntó por Ángela y el carnaval, Sabino escuchó el retintín de la desgracia, el cencerro de la muerte. Bien sabía que cuando la tragedia se pone en movimiento, ya no hay quien la detenga.
Una plaza en la parte vieja de la ciudad. Un vendedor de yuyos que llegó desde Bolivia huyendo de la miseria. Una muchacha que no pudo vivir más allá ni más acá de su hermosura. Y el carnaval en el barrio de San Pedro, saturado de humo de frituras y de ensueños. Campo de batalla contra la muerte entre guerreros coloridos y emplumados. En donde caen las máscaras sociales y todos son iguales. Por un rato.
Presagio de carnaval cumple las reglas de la tragedia. Un destino fatal que se inició con el primer hombre y continúa su marcha.
Liliana Bodoc inaugura con esta novela una nueva etapa en su deslumbrante narrativa: Presagio de carnaval es una novela trágica que, lejos de la fantasía, reflexiona sobre las miserias de la existencia humana.",515 ratings and 82 reviews,"['128 pages, Paperback', 'First published January 1, 2009']",https://www.goodreads.com/book/show/6915800,['Fiction'],15 people are currently reading,298 people want to read
Shadow Me,"['Tahereh Mafi', 'Tahereh Mafi']",3.98,"Juliette is still reeling from Warner's betrayal, and Kenji is trying to balance his friendship with her with his responsibilities as a leader of the resistance against the Reestablishment. Things get even more interesting when an unexpected person from Omega Point’s past surfaces.

The ending of Restore Me left readers gasping, and this novella full of Kenji’s signature sass and big heart is the perfect story to tide fans over until Defy Me, the shocking fifth book in the Shatter Me series.","126,405 ratings and 12,536 reviews","['69 pages, Kindle Edition', 'First published March 5, 2019']",https://www.goodreads.com/book/show/40863452,"['Fantasy', 'Dystopia', 'Romance', 'Young Adult', 'Novella', 'Fiction', 'Science Fiction', '...more']","1,384 people are currently reading",156k people want to read
"Goodbye, Eri","['Tatsuki Fujimoto', 'Tatsuki Fujimoto']",4.34,"With his mother dying, Yuta attempts to capture her last days on his phone. After her death, Yuta heads to the roof of the hospital to commit suicide, but a meeting with a strange girl leads him on the path to making a movie.","16,574 ratings and 2,055 reviews","['202 pages, Unknown Binding', 'First published April 11, 2022']",https://www.goodreads.com/book/show/60786406,"['Manga', 'Fiction', 'Graphic Novels', 'Fantasy', 'Comics', 'Drama', 'Japan', '...more']",167 people are currently reading,"8,802 people want to read"
Cómo me enamoré de Nicolas Cage,"['Carla Quevedo', 'Carla Quevedo']",3.89,"Con una prosa notable, Carla Quevedo consigue en esta primera novela combinar de forma profunda el humor y la sordidez, y sin buscarlo, retratar la complejidad (y a veces la tragedia) de las relaciones humanas.

Marta es una actriz argentina que vive en New York, es joven, linda y perturbada. Intenta quedar en películas de gran despliegue, pero nunca termina de encajar en los estereotipos de lo que se espera de una latina. Una noche, en una fiesta, conoce a un músico muy famoso y se enamora de él. Pero lo que podría ser el inicio de una historia de amor es en cambio el inicio de una historia rabiosa y fracturada, minada de desencuentros.

Sensible, graciosa e hiperlúcida, la protagonista se sumerge dentro de una fantasía densa en la que intentará desentrañar de qué está hecho el enamoramiento, y cuánto se puede encontrar y perder en ese hallazgo.

«Una gema que merece ser descubierta. Por momentos hilarante, obscena, siempre aguda; una lectura provocadora que hace reflexionar. La escritura de Quevedo nos recuerda que la lucha por alcanzar el éxito es más divertida que el éxito en sí. ¡Estos son personajes con los que saldría a tomar una copa!».
Albert Hammond Jr. (The Strokes)

«Una piña en la cara del amor romántico».
Flor Monfort","2,155 ratings and 404 reviews","['384 pages, Paperback', 'Published February 1, 2022']",https://www.goodreads.com/book/show/60163819,"['Fiction', 'Romance', 'Spanish Literature', 'Humor']",106 people are currently reading,"1,978 people want to read"
Que cada cosa cruel sea tú que vuelves,"['Julio Cortázar', 'Julio Cortázar']",3.76,"Que cada cosa cruel sea tú que vuelves, de la colección «Poesía portátil» constituye una ventana a la poesía de uno de los escritores argentinos más relevantes del siglo XX.
La obra de Julio Cortázar es uno de los pilares de la literatura de habla hispana del siglo XX. Conocido especialmente por sus cuentos y novelas, el autor argentino era un poeta hasta cuando escribía en prosa y supo imprimir en sus versos la misma emoción que conmocionó en obras como Rayuela.
-------
«No me des tregua, no me perdones nunca.",588 ratings and 85 reviews,"['72 pages, Paperback', 'First published October 1, 2018']",https://www.goodreads.com/book/show/42632957,['Poetry'],49 people are currently reading,376 people want to read
Justo antes del final,"['Emiliano Monge', 'Emiliano Monge']",4.11,"Ésta es la historia de una mujer que se enfrentó a su tiempo y a su mundo, pero es también la historia de ese tiempo y de ese mundo: la segunda mitad del siglo XX y las primeras décadas del siglo en el que estamos.

En Justo antes del final la vida de la protagonista, una vida marcada por la invisibilidad, la enfermedad, la locura y las violencias, pero también por la resiliencia, la voluntad, los afectos y el cuidado de sí y de los otros, entra en tensión con algunos de los grandes acontecimientos de la vida pública: la llegada de la píldora anticonceptiva, la invención de la cámara instantánea, el desarrollo de tratamientos para las enfermedades mentales, la carrera espacial y la carrera por la prótesis auditiva perfecta, el descubrimiento de la antimateria, el diagnóstico del espectro Asperger, las investigaciones para alargar la vida, el protocolo de Kioto#

De vuelta al territorio autobiográfico, Emiliano Monge ha conseguido algo que parecía imposible: una novela que es un retrato a la vez que un mural. El retrato de una madre y el mural del mundo en que vivimos.",186 ratings and 41 reviews,"['416 pages, Paperback', 'Published September 8, 2022']",https://www.goodreads.com/book/show/61277963,,12 people are currently reading,378 people want to read
おやすみプンプン 6 [Oyasumi Punpun 6],"['Inio Asano', '浅野いにお', 'Inio Asano']",4.38,祖父の訃報を受け、プンプンとプンプンママが実家に行ってきた日の夜。プンプンママは妻子ある男を家に誘い込み、「朝まで家に帰ってこないで」と言われたプンプンは、ひとりゲーセンで時間を潰すことに。同級生の蟹江さんとの週末デート、そしてその先に待つ破廉恥なストーリーを妄想し、孤独を退けていたプンプンだけど…。,"2,627 ratings and 202 reviews","['224 pages, Paperback', 'First published December 26, 2009']",https://www.goodreads.com/book/show/8161051,,43 people are currently reading,492 people want to read
